logstream_idc,logstream_province,logstream_isp,cmatch,real,predict
gzhxy,None,ALIBABA,201,0.0,0.0
gzhxy,None,ALIBABA,204,0.0,0.0
gzhxy,None,ALIBABA,207,0.0,0.0
gzhxy,None,ALIBABA,222,0.0,0.0
gzhxy,None,ALIBABA,225,0.0,0.0
gzhxy,None,ALIBABA,228,0.0,0.0
gzhxy,None,ALIBABA,333,0.0,0.0
gzhxy,None,ALIBABA,351,0.0,0.0
gzhxy,None,ALIBABA,359,0.0,0.0
gzhxy,None,ALIBABA,366,0.0,0.0
gzhxy,None,CERNET,201,0.0,0.0
gzhxy,None,CERNET,204,0.0,0.0
gzhxy,None,CERNET,207,0.0,0.0
gzhxy,None,CERNET,222,0.0,0.0
gzhxy,None,CERNET,225,0.0,0.0
gzhxy,None,CERNET,228,0.0,0.0
gzhxy,None,CERNET,333,0.0,0.0
gzhxy,None,CERNET,351,0.0,0.0
gzhxy,None,CERNET,359,0.0,0.0
gzhxy,None,CERNET,366,0.0,0.0
gzhxy,None,CHINANET,201,2.3007412068375923,2.285
gzhxy,None,CHINANET,204,2.2551519764744947,2.2625
gzhxy,None,CHINANET,207,0.0,0.0
gzhxy,None,CHINANET,222,7.856530321718791,7.800000000000002
gzhxy,None,CHINANET,225,2.3171581418685685,2.29
gzhxy,None,CHINANET,228,4.33649061679653,4.3450000000000015
gzhxy,None,CHINANET,333,7.7514280466638485,7.677499999999998
gzhxy,None,CHINANET,351,2.0879712943946904,2.08
gzhxy,None,CHINANET,359,7.745100171480093,7.814999999999999
gzhxy,None,CHINANET,366,2.098230842530505,2.0825
gzhxy,None,CMNET,201,0.23276165367484772,0.23
gzhxy,None,CMNET,204,0.23245433624335915,0.2275
gzhxy,None,CMNET,207,0.0,0.0
gzhxy,None,CMNET,222,0.9251543679322364,0.9225
gzhxy,None,CMNET,225,0.22988583963893247,0.23
gzhxy,None,CMNET,228,0.7535461121350696,0.7525
gzhxy,None,CMNET,333,0.9210227425086588,0.915
gzhxy,None,CMNET,351,0.0,0.0
gzhxy,None,CMNET,359,0.9083492528850868,0.91
gzhxy,None,CMNET,366,0.0,0.0
gzhxy,None,CRTC,201,0.0,0.0
gzhxy,None,CRTC,204,0.0,0.0
gzhxy,None,CRTC,207,0.0,0.0
gzhxy,None,CRTC,222,0.0,0.0
gzhxy,None,CRTC,225,0.0,0.0
gzhxy,None,CRTC,228,0.0,0.0
gzhxy,None,CRTC,333,0.0,0.0
gzhxy,None,CRTC,351,0.0,0.0
gzhxy,None,CRTC,359,0.0,0.0
gzhxy,None,CRTC,366,0.0,0.0
gzhxy,None,DXTNET,201,0.0,0.0
gzhxy,None,DXTNET,204,0.0,0.0
gzhxy,None,DXTNET,207,0.0,0.0
gzhxy,None,DXTNET,222,0.0,0.0
gzhxy,None,DXTNET,225,0.0,0.0
